part_id,bricklink_part_id,part_name,ldraw_color_id,bricklink_color_id,color,renk,quantity,catalog_url
30136,30136,Brick 1 x 2 Log,19,2,Tan,Bej,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=30136&idColor=2
3020,3020,Plate 2 x 4,0,11,Black,Siyah,26,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3020&idColor=11
3020,3020,Plate 2 x 4,19,2,Tan,Bej,2,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3020&idColor=2
3020,3020,Plate 2 x 4,71,86,Light Bluish Gray,Açık mavimsi gri,68,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3020&idColor=86
3021,3021,Plate 2 x 3,19,2,Tan,Bej,1,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3021&idColor=2
3021,3021,Plate 2 x 3,71,86,Light Bluish Gray,Açık mavimsi gri,47,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3021&idColor=86
3022,3022,Plate 2 x 2,0,11,Black,Siyah,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3022&idColor=11
3022,3022,Plate 2 x 2,19,2,Tan,Bej,1,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3022&idColor=2
3022,3022,Plate 2 x 2,71,86,Light Bluish Gray,Açık mavimsi gri,50,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3022&idColor=86
3023,3023,Plate 1 x 2,0,11,Black,Siyah,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3023&idColor=11
3023,3023,Plate 1 x 2,19,2,Tan,Bej,13,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3023&idColor=2
3023,3023,Plate 1 x 2,71,86,Light Bluish Gray,Açık mavimsi gri,326,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3023&idColor=86
3023,3023,Plate 1 x 2,484,68,Dark Orange,Koyu turuncu,26,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3023&idColor=68
3024,3024,Plate 1 x 1,0,11,Black,Siyah,8,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3024&idColor=11
3024,3024,Plate 1 x 1,19,2,Tan,Bej,24,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3024&idColor=2
3024,3024,Plate 1 x 1,71,86,Light Bluish Gray,Açık mavimsi gri,305,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3024&idColor=86
3024,3024,Plate 1 x 1,84,150,Medium Nougat,Orta nugat,24,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3024&idColor=150
3024,3024,Plate 1 x 1,484,68,Dark Orange,Koyu turuncu,16,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3024&idColor=68
3031,3031,Plate 4 x 4,0,11,Black,Siyah,11,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3031&idColor=11
3031,3031,Plate 4 x 4,19,2,Tan,Bej,3,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3031&idColor=2
3031,3031,Plate 4 x 4,71,86,Light Bluish Gray,Açık mavimsi gri,19,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3031&idColor=86
3034,3034,Plate 2 x 8,0,11,Black,Siyah,32,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3034&idColor=11
3034,3034,Plate 2 x 8,19,2,Tan,Bej,2,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3034&idColor=2
3034,3034,Plate 2 x 8,71,86,Light Bluish Gray,Açık mavimsi gri,26,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3034&idColor=86
3035,3035,Plate 4 x 8,0,11,Black,Siyah,127,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3035&idColor=11
3035,3035,Plate 4 x 8,19,2,Tan,Bej,12,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3035&idColor=2
3035,3035,Plate 4 x 8,28,69,Dark Tan,Koyu bej,60,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3035&idColor=69
3035,3035,Plate 4 x 8,71,86,Light Bluish Gray,Açık mavimsi gri,72,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3035&idColor=86
3039,3039,Slope 45 2 x 2,19,2,Tan,Bej,16,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3039&idColor=2
3040b,3040,Slope 45 2 x 1,71,86,Light Bluish Gray,Açık mavimsi gri,88,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3040&idColor=86
3062b,3062,Brick Round 1 x 1 Open Stud,19,2,Tan,Bej,8,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3062&idColor=2
3062b,3062,Brick Round 1 x 1 Open Stud,297,115,Pearl Gold,İnci altın,1,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3062&idColor=115
3068b,3068,Tile 2 x 2 with Groove,28,69,Dark Tan,Koyu bej,167,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3068&idColor=69
3069b,3069,Tile 1 x 2 with Groove,28,69,Dark Tan,Koyu bej,11,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3069&idColor=69
3070b,3070,Tile 1 x 1 with Groove,28,69,Dark Tan,Koyu bej,28,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3070&idColor=69
32952,32952,Brick 1 x 1 x 1 2/3 with Studs on One Side,19,2,Tan,Bej,24,https://www.bricklink.com/v2/catalog/catalogitem.page?P=32952&idColor=2
3941,3941,Brick Round 2 x 2 with Axle Hole,19,2,Tan,Bej,50,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3941&idColor=2
3941,3941,Brick Round 2 x 2 with Axle Hole,70,88,Reddish Brown,Kızıl kahverengi,17,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3941&idColor=88
3942c,3942c,Cone 2 x 2 x 2 with Completely Open Stud,71,86,Light Bluish Gray,Açık mavimsi gri,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3942c&idColor=86
4032,4032,Plate Round 2 x 2 with Axle Hole,71,86,Light Bluish Gray,Açık mavimsi gri,1,https://www.bricklink.com/v2/catalog/catalogitem.page?P=4032&idColor=86
4073,4073,Plate Round 1 x 1,297,115,Pearl Gold,İnci altın,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=4073&idColor=115
4589,4589,Cone 1 x 1,71,86,Light Bluish Gray,Açık mavimsi gri,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=4589&idColor=86
4589,4589,Cone 1 x 1,297,115,Pearl Gold,İnci altın,1,https://www.bricklink.com/v2/catalog/catalogitem.page?P=4589&idColor=115
4740,4740,Dish 2 x 2 Inverted,71,86,Light Bluish Gray,Açık mavimsi gri,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=4740&idColor=86
49308,49308,Cylinder 3 x 3 with Dome Top and Open Stud,71,86,Light Bluish Gray,Açık mavimsi gri,1,https://www.bricklink.com/v2/catalog/catalogitem.page?P=49308&idColor=86
54200,54200,Slope 30 1 x 1 x 2/3,71,86,Light Bluish Gray,Açık mavimsi gri,32,https://www.bricklink.com/v2/catalog/catalogitem.page?P=54200&idColor=86
60474,60474,Plate Round 4 x 4 with Hole,19,2,Tan,Bej,8,https://www.bricklink.com/v2/catalog/catalogitem.page?P=60474&idColor=2
60592,60592,Window Frame 1 x 2 x 2 Flat Front,19,2,Tan,Bej,8,https://www.bricklink.com/v2/catalog/catalogitem.page?P=60592&idColor=2
6108,6108,Arch 1 x 12 x 3,19,2,Tan,Bej,2,https://www.bricklink.com/v2/catalog/catalogitem.page?P=6108&idColor=2
87087,87087,Brick 1 x 1 with Stud on One Side,19,2,Tan,Bej,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=87087&idColor=2
87580,87580,Plate 2 x 2 with One Centre Stud,71,86,Light Bluish Gray,Açık mavimsi gri,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=87580&idColor=86
98138,98138,Tile Round 1 x 1 with Groove,28,69,Dark Tan,Koyu bej,4,https://www.bricklink.com/v2/catalog/catalogitem.page?P=98138&idColor=69
98283,98283,Brick 1 x 2 with Masonry Profile,19,2,Tan,Bej,114,https://www.bricklink.com/v2/catalog/catalogitem.page?P=98283&idColor=2
98283,98283,Brick 1 x 2 with Masonry Profile,84,150,Medium Nougat,Orta nugat,130,https://www.bricklink.com/v2/catalog/catalogitem.page?P=98283&idColor=150
